"gene_id","SRR1177997","SRR1177999","SRR1178002","SRR1178014","SRR1178021","SRR1178047","SRR1177963","SRR1177964","SRR1177965"
"NM_001040186","4","1","0","5","5","8","1","0","1"
"NM_012811","0","0","0","0","0","0","0","0","0"
"NM_001106274","0","0","2","0","0","0","0","0","0"
"NM_001107527","380","384","365","295","319","529","253","293","228"
"NM_001115039","423","518","450","883","1114","1109","628","614","514"
"NM_001191949","4","2","3","3","11","12","35","45","69"
"NM_001108489","738","751","740","528","846","1079","493","443","517"
"NM_001106272","1274","1542","1242","1260","1425","1442","1174","1311","1017"
"NM_198767","838","1081","1016","810","1082","818","943","970","803"
"NM_001106276","0","0","0","2","4","36","2","0","4"
"NM_001191627","0","0","0","0","0","0","0","0","1"
"NM_053309","294","237","269","247","407","401","139","184","153"
"NM_001011932","1279","1386","1238","1138","1151","1298","1956","1856","1584"
"NM_001107533","104","78","65","88","48","60","36","58","69"
"NM_001107534","328","357","363","444","744","891","422","365","370"
"NM_001105749","140","98","150","80","114","114","70","79","56"
"NM_001170432","377","424","408","270","409","349","476","383","363"
"NM_012781","14","8","4","0","2","10","2","6","2"
"NM_001007630","1886","1803","1725","1678","1645","1760","1356","1447","1207"
"NM_173317","0","0","0","0","0","0","0","0","0"
"NM_053524","521","692","303","239","36","19","165","151","166"
"NM_057185","8","8","2","10","6","2","0","10","4"
"NM_017012","0","0","0","0","0","0","0","0","2"
"NM_145774","622","747","646","526","328","344","248","294","252"
"NM_001013897","352","359","378","748","841","997","447","453","386"
"NM_001108491","290","267","323","90","82","100","159","183","152"
"NM_001024885","294","311","257","294","373","394","324","331","307"
"NM_017198","386","343","424","492","539","566","191","180","160"
"NM_053417","40","68","54","48","63","60","36","43","34"
"NM_001034921","204","244","243","251","238","326","240","242","274"
"NM_001108493","169","267","185","113","90","126","132","183","104"
"NM_153473","146","198","208","237","210","221","150","143","132"
"NM_130737","0","0","0","0","6","2","0","0","0"
"NM_012910","98","132","93","101","77","146","53","95","92"
"NM_017204","24","8","16","21","30","39","22","26","31"
"NM_080786","6634","7369","5587","5188","4440","2733","3302","3464","2925"
"NM_001005885","4","2","2","3","6","12","2","4","6"
"NM_198775","2","7","2","0","2","4","8","0","2"
"NM_053366","1712","2061","1859","3009","3708","4402","1936","1842","1787"
"NM_001191602","250","268","273","262","394","482","399","308","369"
"NM_001108494","920","1199","966","714","897","848","832","777","843"
"NM_001107539","891","1630","1555","1485","1805","1507","1410","1626","1110"
"NM_031079","0","0","0","0","0","0","0","0","0"
"NM_001270604","1","0","0","6","0","2","1","0","0"
"NM_001143847","0","0","0","0","0","0","0","0","0"
"NM_031074","3437","2451","2105","2488","3176","3354","4128","4080","3509"
"NM_001107540","285","351","359","393","579","608","352","330","310"
"NM_001108496","1017","1063","1047","1094","1202","1221","909","859","812"
"NM_001000136","0","0","0","0","0","0","0","0","0"
"NM_033234","4741","8974","4881","2388","2166","2303","4121","5625","7121"
"NM_001001037","0","0","0","0","0","0","0","0","0"
"NM_053324","2","8","10","4","3","2","0","2","6"
"NM_001100582","1753","2370","1689","1077","887","819","995","1219","1040"
"NM_001000947","0","0","0","0","0","0","0","0","0"
"NM_001106290","1629","1667","1522","1612","4051","4438","2536","2624","2589"
"NM_001107547","1620","1621","1477","1360","1239","1089","1181","1258","1104"
"NM_001134970","955","1134","859","1016","1368","1363","933","1019","989"
"NM_031544","37","33","25","6","18","49","16","24","24"
"NM_001105210","1","0","3","4","3","0","0","0","4"
"NM_001106288","1028","1081","932","1190","1443","1639","680","715","691"
"NM_001105211","0","0","0","0","0","0","0","0","0"
"NM_001079884","69","136","115","113","152","137","68","58","84"
"NM_001139508","513","807","742","589","546","809","379","428","410"
"NM_001198589","192","210","149","148","264","270","145","101","144"
"NM_020656","502","667","520","590","623","704","440","488","467"
"NM_001014022","116","105","113","159","210","249","133","145","115"
"NM_017229","1807","1875","1456","1377","1762","1585","1567","1804","1261"
"NM_001106285","313","543","443","334","236","342","245","340","318"
"NM_080781","2972","3359","3019","3402","5185","5307","2644","2691","2423"
"NM_001013434","441","393","412","471","729","989","352","325","289"
"NM_001108500","866","995","827","781","929","946","883","918","1082"
"NM_001108501","83","106","91","64","159","161","130","144","130"
"NM_181695","4","8","1","5","4","2","5","4","0"
"NM_017082","0","0","0","0","1","0","0","0","2"
"NM_001079706","67","50","20","55","35","58","51","62","54"
"NM_144748","451","136","984","1877","1413","1587","693","1029","816"
"NM_001106293","0","0","0","0","0","0","0","0","0"
"NM_181370","0","0","0","0","0","0","0","0","0"
"NM_017100","16","34","17","97","36","171","52","47","21"
"NM_001107548","61","52","66","129","158","183","188","150","141"
"NM_001159493","82","65","82","99","109","131","115","121","126"
"NM_001270693","0","0","0","0","0","0","0","0","0"
"NM_001270692","0","0","0","0","0","0","0","0","0"
"NM_080691","0","0","0","0","0","0","0","0","0"
"NM_022244","0","0","0","0","0","0","0","0","0"
"NM_001270694","0","0","0","0","0","0","0","0","0"
"NM_001134574","450","533","485","523","603","708","398","441","412"
"NM_001011935","1594","2002","1950","2092","2068","2577","1776","1628","1634"
"NM_001012469","30","33","50","18","35","36","19","20","14"
"NM_001009645","32","85","48","89","60","238","121","54","47"
"NM_001109154","81","39","63","40","22","68","28","18","20"
"NM_198736","47","79","69","92","139","163","74","83","67"
"NM_001109156","242","330","333","249","199","221","347","409","373"
"NM_001107552","211","229","228","207","169","329","180","136","143"
"NM_001039608","568","659","509","668","763","909","589","551","582"
"NM_001191631","23","4","22","38","20","8","4","20","10"
"NM_012712","0","0","0","0","0","0","0","0","0"
"NM_001109894","0","0","0","0","0","0","0","0","0"
"NM_001109893","0","0","0","0","0","0","0","0","0"
"NM_001109892","0","0","0","0","0","0","0","0","0"
"NM_001109896","0","0","0","0","0","0","0","0","0"
"NM_001109895","0","0","0","0","0","0","0","0","0"
"NM_022849","1002","292","373","567","522","1010","473","304","447"
"NM_001004418","0","0","0","0","0","0","0","0","0"
"NM_001004415","10","14","14","18","105","317","79","70","64"
"NM_001107555","250","297","284","203","308","288","252","273","201"
"NM_001009706","1475","1870","1672","1409","1598","1594","2240","2077","1498"
"NM_001012068","179","268","232","202","226","270","287","298","274"
"NM_001008347","0","2","0","4","2","1","0","0","0"
"NM_001143803","0","0","0","0","2","2","0","0","0"
"NM_001143858","732","889","779","811","940","1086","894","957","814"
"NM_053767","40","38","23","48","38","56","17","10","33"
"NM_001108506","6","6","8","0","0","2","2","0","2"
"NM_012861","288","449","405","328","921","1060","519","389","308"
"NM_001130077","0","0","4","0","0","0","0","0","0"
"NM_001163277","0","0","0","0","0","0","0","0","0"
"NM_001025058","1","2","10","3","1","3","12","5","3"
"NM_031811","2105","3009","2368","2517","3731","4384","2566","2347","1848"
"NM_001033691","662","838","628","459","810","1802","226","126","517"
"NM_001015024","88","89","87","43","59","57","53","36","52"
"NM_181480","646","888","624","939","958","1223","628","756","549"
"NM_001106319","827","845","746","1354","1414","1927","1103","1354","1191"
"NM_133440","0","0","0","0","0","0","0","0","0"
"NM_133441","0","0","0","0","0","0","0","0","0"
"NM_001177828","2","2","0","0","0","2","2","0","0"
"NM_001107564","74","51","53","50","56","79","38","40","33"
"NM_001004133","0","0","0","0","0","0","0","0","0"
"NM_001108512","927","852","869","814","849","899","877","988","817"
"NM_001106321","5837","8776","6807","2431","868","1254","2199","2263","1846"
"NM_001287134","2846","3274","2649","2610","2960","2710","2514","2570","2339"
"NM_001006998","12","43","41","48","38","83","28","24","20"
"NM_001108515","2771","2718","2380","2428","3458","3600","2338","2171","1974"
"NM_019167","2172","2248","1622","2173","3491","2835","3818","3070","3193"
"NM_172327","320","418","361","550","498","650","350","408","357"
"NM_133424","6","16","11","15","10","20","31","15","18"
"NM_134406","139","155","106","85","111","143","128","87","115"
"NM_001108516","859","781","810","852","1182","1321","888","787","767"
"NM_001008305","453","533","476","754","1015","1431","568","602","525"
"NM_053610","3806","4132","3382","4258","5280","4850","3610","3575","3770"
"NM_001082977","199","216","191","182","119","190","109","112","101"
"NM_001034943","0","5","2","5","8","6","2","0","4"
"NM_001011939","2494","2519","2257","2351","3150","2996","1472","1702","1500"
"NM_139337","1025","1411","1172","903","759","496","909","958","654"
"NM_021699","341","389","328","390","523","612","466","413","421"
"NM_001109161","129","213","200","144","144","172","170","183","159"
"NM_001039007","0","2","0","2","8","34","2","2","2"
"NM_134379","2463","1233","2097","2223","1753","1757","562","1383","673"
"NM_138908","70","176","106","81","89","50","229","144","161"
"NM_001191951","525","543","517","351","648","587","494","362","380"
"NM_031704","1112","1180","1013","1088","1538","1327","851","925","792"
"NM_001168661","256","265","240","307","348","334","275","230","186"
"NM_001106335","62","60","70","101","109","261","96","84","88"
"NM_001008371","1061","1228","1006","1159","1286","1379","1325","1156","1145"
"NM_031124","51","47","76","65","88","236","38","61","70"
"NM_001108927","2145","2563","2192","2873","3557","3957","2233","2234","2155"
"NM_001169120","2066","2353","2209","2267","2469","2706","2476","2492","2012"
"NM_001000760","0","0","0","0","1","0","0","0","0"
"NM_001000261","0","0","0","0","0","0","0","0","0"
"NM_019141","288","322","276","298","280","388","186","216","191"
"NM_198738","159","146","105","1088","1088","1224","372","358","536"
"NM_001013151","51","27","65","33","48","77","20","23","26"
"NM_031036","201","228","208","261","314","324","215","193","233"
"NM_001270958","0","0","0","0","0","0","0","0","0"
"NM_017272","2206","315","633","47211","45101","27692","4063","10098","3308"
"NM_022407","5011","2067","2626","23386","34079","24496","16975","27406","13820"
"NM_001108521","0","0","0","0","2","0","0","0","0"
"NM_001014028","261","321","233","411","521","593","291","376","314"
"NM_001107596","1122","2293","1665","1817","1771","2454","1343","1653","1546"
"NM_001354180","0","0","0","0","0","0","0","0","0"
"NM_031779","30","26","43","12","6","15","16","5","13"
"NM_001109164","132","73","0","0","92","0","0","6","4"
"NM_001012743","6","10","6","2","2","6","2","3","4"
"NM_001191953","195","184","242","196","141","106","120","184","146"
"NM_001037197","2342","2760","2710","1526","1163","1535","1609","1218","1397"
"NM_053706","0","0","0","0","0","0","0","0","0"
"NM_001004446","1593","1693","1584","1193","1437","1058","937","857","690"
"NM_001025036","243","217","179","262","590","584","295","268","295"
"NM_001012172","36","39","21","32","46","50","22","40","45"
"NM_013032","0","2","0","2","0","0","0","0","0"
"NM_053646","112","158","148","119","140","146","310","215","242"
"NM_001035002","1104","1325","1126","1358","1989","1987","1078","1166","1196"
"NM_181386","449","517","469","464","680","659","1171","1402","968"
"NM_001106374","0","0","0","0","0","0","0","0","0"
"NM_001014167","663","798","678","589","453","550","539","657","465"
"NM_001106373","4201","4206","3569","4699","5269","3281","15728","16002","12920"
"NM_001107609","48","52","34","68","72","225","129","88","70"
"NM_022938","4","6","3","3","2","4","0","2","0"
"NM_001129882","137","139","114","182","238","274","122","124","154"
"NM_001169112","76","86","62","150","242","328","147","135","104"
"NM_013159","2558","2777","2429","3519","3981","3985","3620","3727","3558"
"NM_145769","0","0","0","0","0","0","0","0","0"
"NM_001108522","40","35","5","19","12","8","16","13","12"
"NM_053758","799","925","634","866","1107","1273","973","1174","967"
"NM_001271354","98","4","6","894","2427","2030","0","0","0"
"NM_001025767","25","35","11","19","26","70","21","22","24"
"NM_001191898","0","0","0","0","2","0","0","0","1"
"NM_022953","0","0","8","1","0","0","0","0","2"
"NM_001108525","389","453","434","536","636","738","433","362","322"
"NM_001106368","1019","1027","843","870","1102","1292","483","366","393"
"NM_012571","3156","5184","3117","1325","3102","1801","3420","3076","2900"
"NM_040669","705","823","458","957","1136","1112","587","594","620"
"NM_001024975","12","16","6","4","6","14","4","12","2"
"NM_001106353","2590","2294","2310","3576","4038","4112","2603","2762","2144"
"NM_001106361","0","0","0","4","6","4","0","0","0"
"NM_001191634","2624","3292","2651","2844","3957","3745","2245","2325","2112"
"NM_001013905","137","163","129","311","368","497","256","186","230"
"NM_001107600","489","703","688","628","734","765","865","708","655"
"NM_001008349","304","341","313","624","1019","2346","327","275","245"
